name,Fold_change,log2FC,Pvalue,VIP,regulated
Cucurbic acid,1.365971653,0.449927545,0.00573161,1.280453315,unchanged
Acoric acid,1.365613932,0.449549682,0.104369667,0.789494411,unchanged
Betalamic acid,1.365017655,0.448919611,0.008032861,1.190869853,unchanged
Cucurbitacin B,1.364340816,0.448204078,0.428721525,0.374244833,unchanged
dGTP,1.363961684,0.447803118,0.307838348,0.553375488,unchanged
Talinolol,1.363584313,0.447403907,0.004397206,1.260553373,unchanged
o-O-glucuronide rosiglitazone,1.362846126,0.446622681,0.019769054,1.042661257,unchanged
16-a-Hydroxypregnenolone,1.362582413,0.446343491,0.470891832,0.377632743,unchanged
N-Dealkylated tolterodine,1.36214371,0.44587892,0.542629098,0.347871493,unchanged
N-Oleoyl GABA,1.35903871,0.44258655,0.147603595,0.709239547,unchanged
Phenylbutyrylglutamine,1.35617025,0.439538302,0.315095795,0.492308146,unchanged
Lucidenic acid M,1.355199814,0.438505582,0.008374659,1.188426434,unchanged
Neryl rhamnosyl-glucoside,1.354848915,0.43813198,0.147391287,0.669909193,unchanged
Taurochenodeoxycholate-3-sulfate,1.349667468,0.432603999,0.001602704,1.337669437,unchanged
4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid O-glucoside,1.348439639,0.431290943,0.301656768,0.531296209,unchanged
Neurotensin 11-13,1.347926968,0.430742332,0.004486516,1.255501946,unchanged
LysoPC(22:1(13Z)),1.347878372,0.430690318,0.002190028,1.291068904,unchanged
N-Methyl-1H-indole-3-propanamide,1.344668405,0.427250448,0.441158421,0.373514858,unchanged
"5-Phenyl-1,3-oxazinane-2,4-dione",1.344190526,0.426737641,0.149345168,0.664737553,unchanged
Pipermethystine,1.342212455,0.42461305,0.334494913,0.478250162,unchanged
"7,8-Dihydroneopterin",1.340793258,0.423086799,0.157358687,0.698966247,unchanged
Oxprenolol,1.340455757,0.422723603,0.011376789,1.154574165,unchanged
20-COOH-leukotriene E4,1.338792423,0.420932291,0.432340534,0.370310837,unchanged
"Methyl-N,N-diethylthiocarbamate",1.336653138,0.418625134,0.016402005,1.089853037,unchanged
Fasciculic acid B,1.336484657,0.418443275,0.015865121,1.099593119,unchanged
LPA(18:0e/0:0),1.33360093,0.415327015,0.233672598,0.56970929,unchanged
Adenosine,1.332959529,0.414632979,0.201069876,0.569890211,unchanged
"3',4',5'-Trimethoxycinnamyl alcohol acetate",1.33285516,0.414520013,0.056304474,0.882535459,unchanged
Clavulanate,1.332423074,0.414052243,0.101620808,0.749970158,unchanged
De-O-methylsimmondsin,1.330203076,0.411646512,0.388364707,0.421758473,unchanged
"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))",1.330053755,0.411484555,0.519205801,0.309399732,unchanged
2-Methoxy-estradiol-17b 3-glucuronide,1.328153352,0.409421733,0.127964918,0.705613722,unchanged
N-Acetyl-L-tyrosine,1.32786923,0.409113076,0.442417429,0.348751432,unchanged
Propionylcarnitine,1.327727356,0.408958925,0.002405921,1.311502335,unchanged
Sitagliptin,1.326530702,0.407658066,0.393117229,0.435773026,unchanged
Hydroxylated lecithin,1.325330097,0.406351733,0.006443203,1.223124335,unchanged
3-Ferulylpelargonidin 5-glucoside,1.324460135,0.405404421,0.51212558,0.306639526,unchanged
Caffeoylmalic acid,1.322079774,0.402809231,0.006104116,1.249963258,unchanged
Traumatic acid,1.321415847,0.402084552,0.03143081,1.011342769,unchanged
5-Oxo-2(5H)-isoxazolepropanenitrile,1.321039535,0.401673643,0.163434843,0.634399785,unchanged
Trihexosylceramide (d18:1/16:0),1.320715572,0.401319803,0.634005894,0.228610936,unchanged
3-Mercapto-2-methylpentanal,1.318552663,0.398955194,0.019119444,1.014347546,unchanged
"LysoPE(0:0/20:4(5Z,8Z,11Z,14Z))",1.31814247,0.398506311,0.000475386,1.453624808,unchanged
"25,26-dihydroxyvitamin D",1.317279579,0.397561575,0.179724049,0.65450373,unchanged
"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))",1.31289155,0.392747749,0.002294104,1.3144048,unchanged
Cinnzeylanine,1.312735173,0.392575901,0.042614968,0.929004581,unchanged
Cyclopassifloside VI,1.312705264,0.392543031,0.414066403,0.438190913,unchanged
Avenanthramide A2,1.312431628,0.392242266,0.298121963,0.507550086,unchanged
Soyasapogenol B 24-O-b-D-glucoside,1.311592641,0.391319712,0.506552438,0.368507546,unchanged
Lettucenin A,1.311584891,0.391311188,0.150795792,0.668892951,unchanged
Guanethidine,1.306738394,0.385970346,0.29390581,0.490285064,unchanged
Gingerglycolipid C,1.30504352,0.384097918,0.323576197,0.442250096,unchanged
Ineketone,1.302594224,0.381387734,0.269668393,0.550256524,unchanged
Tuberoside,1.301378375,0.380040485,0.109930872,0.794715615,unchanged
LPA(P-16:0e/0:0),1.301313088,0.379968107,0.295227618,0.487849145,unchanged
Levobunolol,1.300325558,0.378872872,0.02348099,1.00054662,unchanged
"2-trans,4-cis-Decadienoylcarnitine",1.29982272,0.378314871,0.134238345,0.730783303,unchanged
Naringenin 5-rhamnoside,1.29918849,0.377610756,0.005429512,1.2292409,unchanged
Uridine 5'-monophosphate,1.295123432,0.3730896,0.220204661,0.607655074,unchanged
Linalyl hexanoate,1.294057796,0.371902053,0.160581198,0.714433325,unchanged
DG(16:0e/18:0/0:0),1.292253217,0.369888794,0.055617164,0.928908315,unchanged
"1alpha,3beta,22R-Trihydroxyergosta-5,24E-dien-26-oic acid 3-O-b-D-glucoside 26-O-[b-D-glucosyl-(1->2)-6-acetyl-b-D-glucosyl] ester",1.29057891,0.368018355,0.059085198,0.843933503,unchanged
Velnacrine,1.288345782,0.365519854,0.177432905,0.650986365,unchanged
6-Methylnicotinamide,1.287660369,0.364752121,0.006853425,1.178861027,unchanged
"1,1-Dimethoxynonane",1.286635811,0.363603748,0.039529733,0.9788529,unchanged
"(3b,5a,22x,25S)-Furostane-22-methoxy-3,26-diol 3-[rhamnosyl-(1->2)-[glucosyl-(1->3)]-glucoside] 26-glucoside",1.286461714,0.363408522,2.91E-06,1.782274008,unchanged
3-dehydrosphinganinium(1+),1.286147899,0.363056553,0.30172368,0.496637257,unchanged
"PE(20:0/20:4(8Z,11Z,14Z,17Z))",1.28201057,0.358408157,0.039746039,0.93384417,unchanged
"DG(16:0/22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",1.280399677,0.356594218,0.529150091,0.287755294,unchanged
Lithocholyltaurine,1.276110868,0.351753675,0.005967862,1.234777573,unchanged
"5b-Cholestane-3a,7a,12a,23R,25-pentol",1.275242687,0.350771827,0.078936035,0.842946243,unchanged
Calystegine C1,1.274658216,0.350110458,0.074249205,0.831393225,unchanged
Oxamniquine,1.27301387,0.348248138,0.097884466,0.805664368,unchanged
()-threo-1-(p-Hydroxyphenyl)propylene glycol 4'-glucoside,1.272000443,0.347099173,0.141299593,0.677956245,unchanged
"(S)-2,3-Dihydro-7-hydroxy-2-methyl-4-oxo-4H-1-benzopyran-5-acetic acid",1.270949076,0.345906226,0.050128564,0.889124489,unchanged
PC(14:1(9Z)/14:1(9Z)),1.270499325,0.345395609,0.507430704,0.338631928,unchanged
Glabrin D,1.270244091,0.345105753,0.474994937,0.31290626,unchanged
"14,17-epoxy-15,16-dimethyldocosa-14,16-dienoic acid",1.270139231,0.344986652,0.000378949,1.422659517,unchanged
Glutathione,1.266486115,0.34083126,0.330574762,0.50476612,unchanged
"5,8-Dimethoxychalepensin",1.266226196,0.340535148,0.318026591,0.484855777,unchanged
Spinacoside C,1.264194096,0.338217982,0.52021573,0.331654408,unchanged
Cynarasaponin C,1.263362655,0.337268832,0.194420699,0.604586222,unchanged
Pteroside Z,1.263018255,0.336875491,0.024226847,0.990309362,unchanged
"TG(14:0/18:0/22:5(4Z,7Z,10Z,13Z,16Z))",1.260377161,0.333855516,0.524992215,0.322861521,unchanged
Canthaxanthin,1.260354921,0.333830059,0.512438915,0.274888457,unchanged
[6]-Shogaol,1.258955152,0.33222689,0.62983239,0.220973539,unchanged
"5-(2-carboxylatoethyl)-4-oxo-4,5-dihydro-1H-imidazol-5-ide",1.256835598,0.329795948,0.306886518,0.476190731,unchanged
m-Coumaric acid,1.255923131,0.328748166,0.157667459,0.66950626,unchanged
"4-Hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid-O-glucuronide",1.251885964,0.324103151,0.025171938,1.026459992,unchanged
"2,3-Dihydro-5-(5-methyl-2-furanyl)-1H-pyrrolizine",1.251665701,0.323849294,0.279026608,0.544189789,unchanged
15-dehydro-prostaglandin E1(1-),1.251517958,0.323678992,0.27447366,0.507151702,unchanged
Lactosylceramide (d18:1/12:0),1.251359851,0.323496722,0.594468891,0.249344853,unchanged
Demissine,1.250469098,0.322469405,0.000792516,1.415529491,unchanged
"LysoPC(22:4(7Z,10Z,13Z,16Z))",1.248140488,0.31978033,0.003072134,1.285551893,unchanged
Levorphanol,1.247153432,0.318638964,0.590046291,0.227493757,unchanged
Daucic acid,1.246678578,0.318089554,0.195829333,0.6937212,unchanged
Marimastat,1.246535661,0.317924157,0.318833254,0.431682637,unchanged
Malonylcarnitine,1.245599489,0.316840258,0.029992628,1.006050858,unchanged
Dihydroferuperine,1.244694963,0.315792225,0.08150002,0.846050849,unchanged
"1,2,3,4-Tetrahydro-b-carboline-1,3-dicarboxylic acid",1.244476392,0.315538862,0.552686167,0.238659044,unchanged
"Glycerol 2-(9Z,12Z-octadecadienoate) 1-hexadecanoate 3-O-[alpha-D-galactopyranosyl-(1->6)-beta-D-galactopyranoside]",1.244470977,0.315532585,0.098431827,0.818672846,unchanged
Cadabicine,1.240864074,0.31134509,0.061674903,0.84312321,unchanged
Monobenzone,1.240010783,0.310352666,0.074731553,0.844060882,unchanged
Cefadroxil,1.238911776,0.309073456,0.357895395,0.449131489,unchanged
Sonchifolin,1.237896745,0.307890983,0.00343243,1.258626891,unchanged
p-Tolualdehyde,1.237661406,0.307616682,0.111860083,0.752036568,unchanged
Bentiromide,1.237555139,0.307492805,0.101486485,0.768124403,unchanged
2-(4-Methyl-5-thiazolyl)ethyl octanoate,1.236641606,0.30642745,0.312700834,0.50737452,unchanged
2-hydroxyflutamide,1.23558374,0.305192791,0.236856673,0.555687674,unchanged
L-Pipecolic acid,1.235475427,0.305066316,0.129711373,0.710821279,unchanged
Glucosylisomaltol,1.234843228,0.304327893,0.079177452,0.817657363,unchanged
2-Oleoylglycerophosphocholine,1.234583183,0.304024045,0.418758,0.440500115,unchanged
Tricycloekasantalol,1.23064976,0.299420233,0.153862194,0.682856177,unchanged
"LysoPC(20:4(8Z,11Z,14Z,17Z))",1.230046323,0.298712648,0.000103312,1.591572867,unchanged
Zymonic acid,1.228381773,0.29675901,0.049995347,0.931229118,unchanged
trans-2-Dodecenoylcarnitine,1.227275395,0.295459019,0.042470161,0.981529836,unchanged
Nicotinuric acid,1.226149815,0.294135263,0.014219415,1.133165255,unchanged
Methyl 2-(10-heptadecenyl)-6-hydroxybenzoate,1.225666785,0.293566815,0.016910177,1.06073587,unchanged
L-Furosine,1.22422453,0.291868181,0.003816327,1.243697853,unchanged
"PC(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.222887884,0.290292142,0.493200741,0.349215359,unchanged
Santalyl acetate,1.22183915,0.289054373,0.280258529,0.534336089,unchanged
M2 di-hydroxylated metabolite,1.21934389,0.286105065,0.140731577,0.703437245,unchanged
"5,8,11-Eicosatrienoic acid",1.218854862,0.285526343,0.40730642,0.377946773,unchanged
Glycyl-Methionine,1.2186668,0.285303727,0.160505334,0.640475834,unchanged
Polyporusterone A,1.21776859,0.284240007,0.00039019,1.512583154,unchanged
Armillaripin,1.217193798,0.283558888,0.056293145,0.883975162,unchanged
"PE(18:2(9Z,12Z)/20:0)",1.216217807,0.282401617,0.01133449,1.087621903,unchanged
mono-Ethyl malonate,1.213357063,0.279004165,0.026983455,1.04011092,unchanged
L-Lysine monohydrochloride,1.212928806,0.278494872,0.182400465,0.627069801,unchanged
35S-Methylokadaic acid 7-hexadecanoate,1.211061789,0.276272474,0.004031744,1.287881249,unchanged
2-Carboxy-4-dodecanolide,1.209086825,0.273917849,0.196885828,0.625728081,unchanged
Caspofungin,1.207486682,0.272007277,0.407581292,0.435908572,unchanged
Methyl hexadecanoic acid,1.205017439,0.269054025,0.037335297,0.96447446,unchanged
Bisacurone epoxide,1.203920355,0.267739954,0.116387333,0.758929551,unchanged
(R)-lipoic acid,1.203315519,0.267014979,0.231802652,0.553949096,unchanged
"(Z)-7-Hexadecen-1,16-olide",1.202213511,0.265693139,0.422826635,0.345997681,unchanged
7'-Carboxy-gamma-tocotrienol,1.200419889,0.263539128,0.467932897,0.390190348,unchanged
3alpha-Hydroxyoreadone,1.199886385,0.262897807,0.415518893,0.389425981,unchanged
"(+/-)-trans- and cis-4,8-Dimethyl-3,7-nonadien-2-ol",1.199702867,0.262677135,0.322103467,0.474701914,unchanged
Retinyl beta-glucuronide,1.19699634,0.259418741,0.075975067,0.855646135,unchanged
6-Methylthiopurine 5'-monophosphate ribonucleotide,1.195573727,0.257703098,0.244648213,0.539805487,unchanged
Uridine diphosphate glucose,1.194938506,0.256936376,0.083125072,0.800645313,unchanged
22-Acetylpriverogenin B,1.19419312,0.256036162,0.558460164,0.324627274,unchanged
Ganoderic acid H,1.193172511,0.254802645,0.048622579,0.89551475,unchanged
"PE(15:0/18:4(6Z,9Z,12Z,15Z))",1.192456826,0.253937033,0.158281103,0.693745844,unchanged
Lacto-N-triaose,1.191990614,0.253372876,0.111937196,0.756836141,unchanged
Corticosterone,1.189453334,0.250298671,0.519942968,0.334097649,unchanged
"SM(d18:0/20:2(11Z,14Z))",1.189280573,0.250089113,0.30623323,0.498790861,unchanged
Sorbitan oleate,1.188507175,0.249150613,0.346044581,0.428475497,unchanged
"1-(8Z,11Z,14Z-eicosatrienoyl)-glycero-3-phosphate",1.18808628,0.24863961,0.004044822,1.238225796,unchanged
Isoleucyl-Tryptophan,1.186765337,0.247034694,0.284836772,0.526237091,unchanged
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate,1.186649929,0.246894391,0.436673722,0.416019269,unchanged
23-trans-p-Coumaroyloxytormentic acid,1.185939032,0.246029845,0.313724596,0.523125707,unchanged
"7a,12a-Dihydroxy-cholestene-3-one",1.185271465,0.245217521,0.233527981,0.603268993,unchanged
Polypodosaponin,1.185094184,0.24500172,0.551306418,0.25748635,unchanged
Gamma-Tocopherol,1.18465993,0.244472977,0.262852412,0.53467492,unchanged
"3-Hydroxy-10'-apo-b,y-carotenal",1.182706965,0.242092667,0.45812797,0.378932327,unchanged
Betavulgaroside II,1.182620806,0.241987564,0.100000062,0.750405575,unchanged
"PE(14:1(9Z)/18:3(9Z,12Z,15Z))",1.182391597,0.241707922,0.229273656,0.567402791,unchanged
Cystathionine ketimine,1.180462269,0.23935193,0.027798096,0.984092109,unchanged
Oleoyl glycine,1.178040798,0.236389504,0.388618433,0.430380957,unchanged
Gossypetin 8-glucoside 3-sulfate,1.177276686,0.235453426,0.108029042,0.74278589,unchanged
Chondroitin 6'-sulfate,1.174686059,0.232275241,0.486168533,0.354377472,unchanged
5-Amino-6-(5'-phosphoribitylamino)uracil,1.173912562,0.231324954,0.162533827,0.651254111,unchanged
Cysteinyl-Cysteine,1.173157119,0.230396245,0.028010394,0.995155806,unchanged
"2beta,9xi-Dihydroxy-8-oxo-1(10),4,11(13)-germacratrien-12,6alpha-olide",1.171883447,0.22882909,0.839337119,0.090174384,unchanged
Quinquenoside L1,1.171823111,0.228754809,0.341021032,0.479808182,unchanged
"5b-Cholestane-3a,7a,12a,25,26-pentol",1.171679914,0.2285785,0.10234977,0.747720746,unchanged
Formylfusarochromanone,1.170705309,0.227377965,0.567005184,0.296445346,unchanged
S-Adenosylhomocysteine,1.16914399,0.225452621,0.713338095,0.17047457,unchanged
Ganolucidic acid D,1.168905647,0.225158481,0.58126831,0.283019498,unchanged
Cepagenin,1.16677865,0.222530893,0.444269154,0.39368951,unchanged
Ouabain,1.166645563,0.222366325,0.668163099,0.193304279,unchanged
"2-Ethyl-3,4-dihydroxyfuran",1.1658499,0.221382057,0.118978758,0.752551164,unchanged
Rocuronium,1.164645458,0.219890836,0.388753336,0.380486757,unchanged
Pregnanediol,1.163762358,0.218796487,0.275410125,0.48893507,unchanged
Hydratopyrrhoxanthinol,1.162775328,0.217572365,0.002983139,1.266916358,unchanged
Lentialexin,1.162498287,0.21722859,0.211369408,0.594163753,unchanged
Ginsenoside A1,1.161466452,0.215947484,0.024064441,1.042115749,unchanged
Polysorbate 20,1.159865775,0.21395786,0.222728961,0.596141924,unchanged
2-Nonenoic acid gamma-lactone,1.158584268,0.212362981,0.066532396,0.85922856,unchanged
Epijasminoside A,1.158081004,0.211736169,0.08300414,0.863322212,unchanged
28-Hydroxy-14-taraxeren-3-one,1.156800458,0.210140028,0.256372393,0.523067329,unchanged
Niazirinin,1.155978278,0.209114288,0.524621791,0.366717681,unchanged
Geranyl acetoacetate,1.154805325,0.207649665,0.055725723,0.904600626,unchanged
"p-Mentha-1,8-dien-4-ol",1.154575882,0.207362995,0.333150382,0.464099013,unchanged
Isoleucyl-Gamma-glutamate,1.154545693,0.207325271,0.6533009,0.212574814,unchanged
"PS(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:1(9Z))",1.15449565,0.207262737,0.081057887,0.795008874,unchanged
"PE(DiMe(13,5)/MonoMe(11,3))",1.154452182,0.207208417,0.655802684,0.228304743,unchanged
4-Thialysine,1.154416339,0.207163624,0.483028253,0.364762936,unchanged
Pummeline,1.153921727,0.206545366,0.209892852,0.592072154,unchanged
Suprofen,1.153013369,0.205409241,0.197163825,0.639660596,unchanged
DG(22:0/14:1(9Z)/0:0),1.152798506,0.205140371,0.444076188,0.356348754,unchanged
"5,6,7,8-Tetrahydro-2,4-dimethylquinoline",1.152424316,0.204672006,0.252495824,0.549660641,unchanged
"2-(5,8-Tetradecadienyl)cyclobutanone",1.151787837,0.203874993,0.283492749,0.526334088,unchanged
Ureidopropionic acid,1.151245564,0.203195598,0.176335596,0.693322125,unchanged
D-Galactose,1.151184751,0.203119387,0.04020406,0.916573979,unchanged
Forasartan,1.150603565,0.202390845,0.198272851,0.614220034,unchanged
Notoginsenoside J,1.15041122,0.202149652,0.184562044,0.620999847,unchanged
Cymorcin monoglucoside,1.148829185,0.200164305,0.354307461,0.467141575,unchanged
Gb3Cer,1.148248624,0.199435055,0.188989788,0.592171919,unchanged
Grevilline B,1.146900936,0.197740783,0.134970169,0.68276859,unchanged
Alfacalcidol,1.14686552,0.197696233,0.460343207,0.372752586,unchanged
"3,3',4'-Trihydroxyflavone 3-O-[a-L-rhamnopyranosyl-(1->2)[a-L-rhamnopyranosyl-(1->6)]-b-D-glucopyranoside]",1.146491798,0.197226033,0.496571613,0.345187616,unchanged
Cinncassiol D2 glucoside,1.145239258,0.19564903,0.094151374,0.750888092,unchanged
Glandulone C,1.139789331,0.188767193,0.496010025,0.362231287,unchanged
Amifloxacin,1.139457568,0.188347202,0.00096842,1.372652863,unchanged
Methoxamine,1.138447195,0.187067376,0.565614856,0.272399963,unchanged
4-Oxo-1-(3-pyridyl)-1-butanone,1.137449009,0.185801872,0.538896017,0.243029717,unchanged
2-[2-(4-Hydroxy-3-methoxyphenyl)ethyl]-5-octylfuran,1.136493185,0.184589034,0.48444056,0.320465781,unchanged
Dihomo-linoleate (20:2n6),1.136283174,0.184322415,0.683763483,0.190358448,unchanged
"(24R)-5b,8b-Epidioxyergosta-6,22E-dien-3b-ol 3-glucoside",1.135916377,0.183856631,0.388975844,0.425357939,unchanged
Tragopogonsaponin J,1.135466392,0.183285005,0.218753928,0.557517695,unchanged
Streptozocin,1.135439415,0.183250728,0.81805885,0.080694298,unchanged
5-Sulfoxymethylfurfural,1.13484489,0.182495125,0.078634053,0.831139665,unchanged
Palmitoleoyl Ethanolamide,1.134672085,0.182275426,0.536070011,0.312015397,unchanged
Pregnanediol-3-glucuronide,1.134490781,0.182044885,0.364974089,0.46931841,unchanged
"PG(18:3(6Z,9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",1.134254261,0.181744079,0.016493133,1.064509737,unchanged
Postin,1.134227015,0.181709424,0.505159337,0.338634941,unchanged
Adrenochrome o-semiquinone,1.133085378,0.180256572,0.0902027,0.787325432,unchanged
Sorgolactone,1.132426506,0.179417423,0.059138529,0.857612479,unchanged
Alfentanil,1.132274562,0.179223835,0.347234649,0.450133668,unchanged
Minoxidil,1.13066268,0.177168582,0.57247859,0.321597247,unchanged
Polyoxyethylene dioleate,1.130052902,0.176390313,0.424112198,0.375859947,unchanged
Cinnamoside,1.129783568,0.176046423,0.621286381,0.23346793,unchanged
5-Dodecenoic acid,1.128793133,0.174781116,0.244628437,0.578720384,unchanged
Ganglioside GM3 (d18:1/12:0),1.127870743,0.17360174,0.075868859,0.814658045,unchanged
"3a,7a-Dihydroxycoprostanic acid",1.126583514,0.171954265,0.489867665,0.337723558,unchanged
"N-2-[4-(3,3-Dimethylallyloxy)phenyl]ethylcinnamide",1.125735493,0.170867887,0.489835657,0.352044398,unchanged
"7,8-Dehydro-3,4-dihydro-beta-ionol",1.125010725,0.169938755,0.437612146,0.371281431,unchanged
4-Ethoxybenzaldehyde,1.123932076,0.168554851,0.078266785,0.808053169,unchanged
Eplerenone,1.123914729,0.168532583,0.326105212,0.504936001,unchanged
"1-(5Z,8Z,11Z,14Z-eicosatetraenoyl)-sn-glycero-3-phosphate",1.123035336,0.167403323,0.020992118,1.091002042,unchanged
"MG(0:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",1.1228735,0.167195406,0.402750984,0.420015348,unchanged
5-(3-Pyridyl)-2-hydroxytetrahydrofuran,1.122836984,0.167148489,0.044558926,0.908592192,unchanged
b-Dihydrotetrabenazine,1.122744179,0.167029242,0.200158681,0.632374054,unchanged
Tyrosyl-Tryptophan,1.121483625,0.165408555,0.360658565,0.438225771,unchanged
Hyaluronic acid,1.121214259,0.165061997,0.401319191,0.389293597,unchanged
Medicagenic acid 28-O-[b-D-xylosyl-(1->4)-a-L-rhamnosyl-(1->2)-a-L-arabinosyl] ester,1.119457775,0.162800112,0.253598753,0.564843053,unchanged
DG(18:1(11Z)/20:0/0:0),1.119114142,0.162357189,0.69563148,0.138656606,unchanged
Diosmetin 7-O-beta-D-glucuronopyranoside,1.118110284,0.161062494,0.210563019,0.571900077,unchanged
Lyciumoside VII,1.117892138,0.160780994,0.303443248,0.53515432,unchanged
3-hydroxypristanic acid,1.117613236,0.160421011,0.287964925,0.516375341,unchanged
Lauroyl diethanolamide,1.117225573,0.159920502,0.432795076,0.393379959,unchanged
Neoherculin,1.116046265,0.158396834,0.52468176,0.313773158,unchanged
"LysoPC(20:5(5Z,8Z,11Z,14Z,17Z))",1.112305484,0.153553065,0.224592234,0.570299565,unchanged
Dihydrojasmonic acid,1.112037055,0.153204862,0.70037294,0.148059917,unchanged
Janthitrem E,1.111689976,0.152754511,0.492503092,0.361451373,unchanged
Marmesin rutinoside,1.110223775,0.150850493,0.734177392,0.173192864,unchanged
L-Asparagine,1.109666205,0.150125769,0.100302235,0.769988918,unchanged
"MG(18_2(9Z,12Z)_0_0_0_0)[rac]",1.108254513,0.148289238,0.536919356,0.279782603,unchanged
L-Palmitoylcarnitine,1.107268202,0.147004714,0.590273086,0.223385467,unchanged
L-Aspartic acid,1.106652986,0.146202907,0.161426615,0.652467163,unchanged
Deslanoside,1.106090627,0.145469597,0.407738697,0.393532171,unchanged
S-(9-deoxy-delta12-PGD2)-glutathione,1.105788473,0.145075438,0.038467273,0.947065063,unchanged
Ganoderenic acid E,1.105064626,0.144130743,0.561206822,0.300093089,unchanged
Geranylfarnesyl diphosphate,1.104746805,0.143715759,0.198520089,0.613274237,unchanged
Lipoxin B4,1.103769262,0.142438615,0.553865715,0.320335534,unchanged
Oleandrin,1.103250205,0.141760015,0.642253428,0.196354804,unchanged
Nor-psi-tropine,1.103064134,0.141516674,0.568611395,0.264861848,unchanged
"Cholestane-3,7,12,25-tetrol-3-glucuronide",1.102805685,0.14117861,0.419085785,0.425919229,unchanged
Tylosin,1.102155313,0.14032754,0.481974591,0.343678448,unchanged
Sevoflurane,1.101196097,0.139071402,0.201111652,0.616914783,unchanged
Glaucarubol 15-O-beta-D-glucopyranoside,1.101152068,0.139013717,0.026382275,1.009803261,unchanged
alpha-hydroxy myristic acid,1.101083128,0.138923392,0.441653687,0.354358014,unchanged
6-Hydroxyetodolac,1.101045066,0.13887352,0.724188481,0.175855916,unchanged
PE(14:0/14:1(9Z)),1.100545027,0.138218172,0.833057962,0.12181783,unchanged
"2-(4-Methyl-1,3-pentadienyl)anthraquinone",1.098310918,0.135286521,0.078436498,0.794049145,unchanged
Carbadox,1.09777091,0.134577014,0.484533339,0.333408165,unchanged
Tryptophanol,1.097601824,0.134354784,0.216239262,0.584532275,unchanged
Abscisic alcohol 11-glucoside,1.096579526,0.133010443,0.659607238,0.194611611,unchanged
Taurocholic acid,1.09592223,0.132145424,0.774946645,0.144607161,unchanged
"(3a,5b,7a)-23-Carboxy-7-hydroxy-24-norcholan-3-yl-b-D-Glucopyranosiduronic acid",1.095218924,0.13121928,0.141735534,0.642997072,unchanged
Phosphorylcholine,1.095010614,0.130944854,0.212412703,0.55895729,unchanged
Orotic acid,1.094801801,0.130669713,0.339867467,0.482981742,unchanged
Amaranthussaponin III,1.093590322,0.129072381,0.133784532,0.68125949,unchanged
8(R)-Hydroperoxylinoleic acid,1.092693628,0.127888951,0.651239424,0.229299176,unchanged
Hordatine A,1.091549907,0.126378094,0.493546109,0.357490975,unchanged
[10]-Shogaol,1.09119957,0.12591498,0.784330965,0.171015099,unchanged
3-O-Sulfogalactosylceramide (d18:1/18:1(9Z)),1.090748038,0.125317879,0.643545414,0.204386127,unchanged
(S)-Nerolidol 3-O-[a-L-Rhamnopyranosyl-(1->4)-a-L-rhamnopyranosyl-(1->2)-[a-L-rhamnopyranosyl-(1->6)]-b-D-glucopyranoside],1.089783246,0.124041217,0.097097851,0.806129996,unchanged
PS(18:0/20:0),1.089498415,0.123664098,0.829923385,0.07605716,unchanged
L-beta-aspartyl-L-aspartic acid,1.089473291,0.123630828,0.535101923,0.285019945,unchanged
alpha-[3-[(Hydroxymethyl)nitrosoamino]propyl]-3-pyridinemethanol,1.08908824,0.123120849,0.279867122,0.526344982,unchanged
Palmitic amide,1.088627369,0.122510212,0.073420145,0.829482664,unchanged
Pyroglutamylglycine,1.088371678,0.122171319,0.488952477,0.357570747,unchanged
MG(0:0/16:1(9Z)/0:0),1.087734498,0.121326456,0.416298378,0.434281156,unchanged
N-Desmethyl-o-O-sulfate rosiglitazone,1.087184483,0.12059677,0.171832159,0.642321495,unchanged
Dihydropteridine,1.087098435,0.12048258,0.259370049,0.510404874,unchanged
Diethylstilbestrol,1.086806059,0.120094513,0.761857708,0.121189469,unchanged
9-Decenoic acid,1.086752739,0.120023731,0.687240056,0.17547555,unchanged
1-eicosanoyl-glycero-3-phosphate,1.086128833,0.119195241,0.571543146,0.287413009,unchanged
()-(Z)-2-(5-Tetradecenyl)cyclobutanone,1.086100123,0.119157106,0.539202598,0.283676045,unchanged
4-Methyl-5-hexanolide,1.085561016,0.118440817,0.394770836,0.407060026,unchanged
Dehydroisochalciporone,1.08533583,0.118141517,0.672510272,0.21615889,unchanged
Arachidonic acid,1.085180337,0.117934812,0.129928727,0.695980321,unchanged
Clausarinol,1.084809181,0.117441293,0.236367572,0.567006153,unchanged
Crithmumdiol,1.083655986,0.115906836,0.391039216,0.404585424,unchanged
Rutacridone,1.082895824,0.11489446,0.477515593,0.363489659,unchanged
Tercatain,1.082490026,0.114353732,0.670493919,0.241536424,unchanged
