name,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9
Choline,3.38E-07,5.77E-07,0,2.42E-07,1.74E-07,0,3.25E-07,6.89E-08,1.12E-07,7.56E-08,1.00E-07,2.18E-07,2.63E-07,8.10E-08,1.99E-07,0,0,1.80E-07
Propionylcarnitine,5.68E-05,5.01E-05,6.09E-05,5.39E-05,5.96E-05,7.22E-05,6.90E-05,4.53E-05,5.29E-05,6.53E-05,5.42E-05,7.60E-05,6.50E-05,8.88E-05,8.94E-05,7.85E-05,8.72E-05,8.72E-05
"2,3-Dihydro-5-(5-methyl-2-furanyl)-1H-pyrrolizine",1.91E-06,1.87E-06,3.94E-06,4.03E-06,3.79E-06,3.29E-06,2.07E-06,3.67E-06,1.71E-06,1.74E-06,2.23E-06,7.25E-06,2.46E-06,3.41E-06,5.10E-06,3.16E-06,3.82E-06,3.72E-06
5-(3-Pyridyl)-2-hydroxytetrahydrofuran,0.010124673,0.009735768,0.011486583,0.011979461,0.015073806,0.012831921,0.011243695,0.011425253,0.011907401,0.012893352,0.014191117,0.01205466,0.012126919,0.014602756,0.011142974,0.013353793,0.014113729,0.014326465
Lipoxin B4,0.000113321,0.000141426,7.70E-05,8.03E-05,0.000120942,0.000100679,0.000106963,0.000100899,0.000138161,0.000108154,9.91E-05,0.000102381,7.59E-05,0.000225088,7.76E-05,0.000129567,0.000179518,8.40E-05
"11,14,17-Eicosatrienoic acid",5.71E-05,5.92E-05,6.01E-05,5.98E-05,4.62E-05,5.02E-05,5.47E-05,5.75E-05,5.20E-05,4.57E-05,3.86E-05,3.74E-05,3.15E-05,4.43E-05,6.55E-05,3.96E-05,3.88E-05,3.45E-05
Glucosylgalactosyl hydroxylysine,9.72E-06,1.12E-05,7.81E-06,0,0,1.66E-05,4.76E-06,2.35E-06,0,0,4.40E-06,2.80E-06,0,3.50E-06,3.93E-06,5.83E-07,0,0
"CDP-DG(16:0/18:2(9Z,12Z))",9.91E-05,6.86E-05,8.97E-05,0.000116719,9.96E-05,0.000100953,0.000112238,0.000104118,0.000111193,9.73E-05,9.09E-05,7.74E-05,6.65E-05,7.05E-05,5.43E-05,8.40E-05,8.68E-05,7.32E-05
N-Monodemethyl roxithromycin,1.07E-06,3.03E-06,3.10E-07,1.70E-06,1.48E-06,8.99E-07,7.47E-07,1.47E-06,1.37E-06,2.93E-07,4.88E-07,1.02E-06,0,1.19E-06,1.21E-06,2.24E-06,1.93E-06,1.90E-06
"L-Menthyl (R,S)-3-hydroxybutyrate",2.32E-06,1.83E-06,3.11E-06,2.91E-06,3.50E-06,2.59E-06,3.24E-06,2.43E-06,2.60E-06,2.71E-06,1.77E-06,2.09E-06,2.71E-06,2.65E-06,2.54E-06,3.42E-06,3.16E-06,3.29E-06
"2,3,5,6,8,8a-Hexahydro-2,5,5,8a-tetramethyl-7H-1-benzopyran-7-one",1.85E-05,1.30E-05,1.52E-05,1.51E-05,1.44E-05,1.38E-05,1.13E-05,1.56E-05,9.87E-06,3.94E-06,6.15E-06,5.09E-06,3.74E-06,6.05E-06,5.50E-06,4.94E-06,2.08E-06,3.06E-06
L-beta-aspartyl-L-threonine,1.77E-05,1.12E-05,4.73E-06,9.37E-06,1.28E-05,5.24E-06,5.99E-06,1.06E-05,6.36E-06,6.19E-06,4.40E-06,2.08E-05,8.95E-06,4.69E-06,1.48E-05,5.32E-06,7.07E-06,6.29E-06
"(all-Z)-7,10,13-Docosatrienoic acid",0.000664159,0.000297713,0.000495783,0.000277846,0.000363747,0.00035526,0.00042575,0.000247267,0.000329907,0.000238976,0.000511029,0.000255904,0.000222772,0.000280793,0.00038926,0.00056398,0.000234194,0.000232887
DG(14:0/0:0/18:2n6),5.36E-05,5.98E-05,6.99E-05,7.64E-05,6.36E-05,7.40E-05,6.51E-05,7.74E-05,5.18E-05,4.08E-05,4.18E-05,4.92E-05,4.22E-05,5.30E-05,4.02E-05,6.51E-05,4.90E-05,4.50E-05
Dezocine,4.57E-06,5.18E-06,3.69E-06,4.86E-06,1.77E-06,2.12E-06,2.96E-06,7.76E-07,4.62E-06,2.56E-06,3.50E-06,8.78E-07,9.56E-07,1.98E-06,2.78E-06,2.43E-06,1.70E-06,6.63E-07
Capsianoside VI,5.48E-06,8.36E-06,4.20E-06,7.98E-06,7.01E-06,6.86E-06,6.66E-06,8.38E-06,8.46E-06,6.07E-06,6.94E-06,4.07E-06,1.85E-06,3.58E-06,8.74E-06,3.63E-06,3.58E-06,3.19E-06
"DG(14:1(9Z)/18:4(6Z,9Z,12Z,15Z)/0:0)",0.000315482,0.000152184,0.000160267,0.000183577,0.000218728,0.000177923,0.000189677,9.07E-05,6.55E-05,7.93E-05,6.22E-05,6.97E-05,7.06E-05,6.46E-05,5.47E-05,6.91E-05,0.000107136,0.000118809
"DG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",3.53E-06,2.31E-06,7.56E-06,5.21E-06,0.0001459,4.97E-05,0.00012042,0.000140429,5.15E-05,3.72E-05,3.60E-05,2.37E-05,3.73E-05,3.42E-05,1.56E-05,2.19E-05,1.47E-05,2.09E-05
"PE(18:0/18:2(9Z,12Z))",0.001104674,0.000602619,0.000814678,0.001030922,0.001026755,0.001039108,0.001200926,0.001083778,0.001123597,0.0013091,0.001287404,0.001345342,0.001587822,0.001574694,0.001190432,0.00161921,0.001530418,0.001686506
"(all-E)-1,7-bis(4-hydroxyphenyl)-1,4,6-heptatrien-3-one",2.53E-05,2.12E-05,2.57E-05,2.57E-05,2.59E-05,2.56E-05,2.63E-05,2.35E-05,2.54E-05,2.11E-05,2.06E-05,2.21E-05,2.20E-05,2.07E-05,1.90E-05,2.42E-05,2.50E-05,2.13E-05
Geosmin,0.000162626,0.000128122,0.000239459,0.000123203,0.000202549,0.000236604,0.000183822,0.000136345,0.000152695,0.000141143,0.000159779,0.000152127,0.000138495,0.000138246,0.00014102,0.000184073,0.000136935,0.000120469
"LysoPE(0:0/20:4(8Z,11Z,14Z,17Z))",1.17E-05,1.52E-05,1.24E-05,9.50E-06,8.13E-06,9.22E-06,1.00E-05,1.83E-05,1.68E-05,1.01E-05,7.54E-06,6.08E-06,4.69E-06,6.68E-06,9.72E-06,9.84E-06,9.88E-06,1.27E-05
"2,4,12-Octadecatrienoic acid piperidide",0.000168566,0.000231091,0.000242025,0.000115226,9.50E-05,0.000216092,0.000261496,8.89E-05,0.000104975,0.000143218,0.000122906,0.000105301,0.000163349,0.000151896,0.000246914,0.000149311,0.0001558,0.000147504
Gestodene,4.77E-06,3.22E-06,5.27E-06,0,1.60E-07,8.19E-06,8.17E-06,4.02E-06,3.75E-07,0,2.62E-06,4.79E-06,2.40E-06,5.44E-06,3.66E-06,5.47E-06,7.29E-06,4.47E-06
Plastoquinone 3,1.14E-05,2.48E-06,1.25E-05,2.67E-07,0,1.36E-05,1.89E-05,1.31E-05,8.56E-07,2.80E-06,2.16E-06,6.25E-06,2.22E-06,5.94E-06,9.25E-07,8.95E-06,9.92E-06,8.83E-06
"5-(3',5'-Dihydroxyphenyl)-gamma-valerolactone 3-O-glucuronide",5.25E-07,3.64E-06,2.14E-06,3.07E-06,5.18E-06,1.26E-06,2.81E-06,3.25E-06,3.54E-07,3.02E-06,2.90E-06,7.13E-06,3.51E-06,3.89E-06,1.93E-06,3.34E-06,1.71E-06,9.43E-06
"2-Geranyl-2',3,4,4'-tetrahydroxydihydrochalcone",2.34E-06,1.73E-06,1.27E-06,4.15E-06,1.03E-05,2.45E-06,1.88E-06,2.82E-06,9.86E-07,0,0,0,1.15E-07,0,0,0,0,0
3'-AMP,3.08E-05,2.74E-05,3.40E-05,3.68E-05,4.21E-05,3.14E-05,3.36E-05,3.01E-05,3.02E-05,2.63E-05,2.47E-05,2.85E-05,2.62E-05,2.67E-05,2.31E-05,3.13E-05,2.78E-05,2.67E-05
Ganoderic acid J,1.33E-06,1.06E-06,1.32E-06,1.13E-06,9.29E-07,1.43E-06,2.09E-06,6.23E-07,7.84E-07,7.34E-07,1.43E-06,6.26E-07,9.34E-07,1.36E-06,1.57E-06,8.07E-07,1.81E-06,1.53E-06
Testosterone,7.14E-08,2.43E-08,7.24E-08,0,2.62E-07,1.83E-07,0,1.56E-07,0,5.45E-08,2.06E-07,2.20E-08,1.23E-07,0,0,0,0,1.13E-07
3b-Hydroxy-5-cholenoic acid,0,4.11E-06,1.82E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PE(14:0/P-18:0),2.50E-05,7.57E-06,5.97E-06,9.33E-06,1.24E-05,6.99E-06,5.39E-06,1.03E-06,3.99E-07,7.99E-07,0,0,2.52E-08,0,3.06E-07,4.42E-08,1.46E-06,1.03E-06
Vinaginsenoside R2,1.37E-05,1.62E-05,1.35E-05,2.65E-05,1.93E-05,1.68E-05,1.81E-05,2.13E-05,2.15E-05,2.06E-05,1.72E-05,1.46E-05,1.23E-05,9.81E-06,1.28E-05,1.32E-05,1.30E-05,1.19E-05
(22Alpha)-hydroxy-5alpha-campestan-3-one,3.69E-06,2.91E-06,3.11E-06,1.99E-06,3.43E-06,2.21E-06,4.63E-06,2.44E-06,3.36E-06,1.55E-06,5.65E-07,5.78E-07,5.81E-07,1.18E-06,2.63E-06,1.31E-06,1.12E-06,2.24E-06
Macrocarpal I,7.66E-05,5.63E-05,5.75E-05,7.78E-05,5.57E-05,7.76E-05,6.96E-05,7.77E-05,4.88E-05,5.87E-05,7.31E-05,4.74E-05,4.88E-05,5.93E-05,6.34E-05,5.76E-05,5.14E-05,5.17E-05
Liquoric acid,7.24E-06,6.83E-06,5.80E-06,5.93E-06,5.25E-06,8.28E-06,3.57E-06,7.70E-06,5.26E-06,3.36E-06,3.65E-06,3.60E-06,3.50E-06,3.47E-06,2.63E-06,4.07E-06,3.10E-06,3.46E-06
"(3b,22a)-12-Oleanene-3,22,24,29-tetrol 3-[arabinosyl-(1->3)-arabinoside]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pregeijerene,5.05E-06,5.52E-06,8.65E-06,3.71E-06,2.39E-06,1.13E-05,1.46E-05,4.78E-06,5.29E-06,7.97E-06,6.82E-06,8.33E-06,6.58E-06,7.10E-06,1.64E-05,8.56E-06,1.40E-05,1.14E-05
"DG(15:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nivalenol,2.71E-06,4.35E-06,3.71E-06,5.11E-06,9.59E-06,2.91E-06,3.20E-06,2.61E-06,2.51E-06,3.30E-06,4.08E-06,4.56E-06,2.25E-06,2.99E-06,3.59E-06,1.90E-06,2.38E-06,2.84E-06
"(R)-2-Amino-N-(2,2,4,4-tetramethyl-3-thietanyl)propanamide",2.62E-06,3.79E-06,3.44E-06,1.78E-06,1.74E-06,2.53E-06,3.16E-06,7.04E-07,1.81E-06,1.46E-06,1.30E-06,4.84E-07,3.85E-07,1.31E-06,1.47E-06,7.82E-07,1.30E-06,7.67E-07
Stigmastentriol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adenosine phosphosulfate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tobramycin,1.12E-05,1.22E-05,1.04E-05,1.22E-05,1.29E-05,1.16E-05,1.25E-05,1.37E-05,1.21E-05,1.33E-05,1.28E-05,6.82E-06,2.25E-05,2.62E-05,1.77E-05,4.91E-05,2.47E-05,1.62E-05
"(6E,8E)-4,6,8-Megastigmatriene",1.21E-06,1.49E-05,7.96E-07,5.66E-08,1.88E-06,2.27E-07,0,0,0,0,1.38E-06,0,0,0,1.29E-07,0,0,0
DG(18:1(11Z)/20:0/0:0),0,1.87E-09,0,2.30E-05,1.55E-05,1.99E-05,1.70E-05,1.24E-05,9.97E-06,1.92E-05,1.52E-05,8.97E-06,1.00E-05,1.12E-05,8.79E-06,1.02E-05,1.08E-05,1.49E-05
Polypodosaponin,6.26E-05,1.30E-05,1.14E-05,2.19E-05,5.74E-05,6.06E-06,0.000103391,7.76E-05,8.43E-05,5.80E-05,2.30E-05,6.47E-05,6.26E-05,5.36E-05,1.35E-05,6.96E-05,8.94E-05,8.43E-05
Nb-Arachidoyltryptamine,6.90E-07,6.76E-07,5.21E-09,0,1.25E-07,2.11E-07,3.11E-07,1.10E-07,0,5.24E-07,6.15E-07,3.04E-07,6.74E-07,0,7.37E-07,3.82E-07,7.38E-07,5.90E-07
16-a-Hydroxypregnenolone,3.32E-07,5.88E-07,1.17E-06,6.70E-07,2.24E-07,1.93E-06,2.31E-06,1.17E-06,1.03E-06,2.00E-07,9.15E-07,2.11E-06,0,2.25E-06,0,4.00E-06,2.39E-06,9.60E-07
Astin I,1.89E-05,1.38E-05,1.81E-05,2.68E-05,2.93E-05,2.15E-05,2.10E-05,1.93E-05,2.33E-05,3.81E-05,3.18E-05,3.74E-05,4.54E-05,5.28E-05,4.77E-05,4.50E-05,3.90E-05,4.33E-05
Prolylhydroxyproline,8.34E-06,1.09E-05,8.87E-06,1.09E-05,1.21E-05,8.62E-06,9.32E-06,1.06E-05,1.09E-05,8.53E-06,1.02E-05,8.39E-06,8.05E-06,9.49E-06,1.04E-05,1.14E-05,1.04E-05,8.83E-06
Cytochalasin Npho,0.000103194,0.000100635,9.41E-05,0.000150442,0.000132915,0.000129359,0.000115344,0.000136822,0.000129857,0.000265464,0.000233959,0.000222907,0.00016921,0.000322202,0.000271946,0.000283049,0.000164125,0.000247865
4Alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol,0.000116074,0.000118425,0.000122924,0.000119307,0.000141839,0.000128696,0.000132285,0.000133956,0.000139611,0.000117675,0.000126239,0.00010078,0.00012126,0.000135695,0.000119045,0.000149758,0.000176938,0.000156095
"2,6-Di-tert-butylbenzoquinone",2.98E-06,5.27E-06,8.61E-06,4.11E-06,2.93E-06,3.22E-06,2.14E-06,2.61E-06,1.74E-06,3.57E-07,1.60E-06,4.95E-07,6.23E-07,2.42E-06,1.43E-06,1.44E-06,4.50E-07,6.07E-07
Feruloylcholine,4.16E-05,3.20E-05,1.82E-05,3.36E-06,1.63E-06,3.45E-05,2.39E-05,1.29E-05,9.17E-06,2.04E-06,1.55E-05,3.41E-06,1.10E-06,2.78E-06,9.38E-06,3.52E-07,1.68E-07,9.87E-06
Physagulin G,2.15E-05,1.81E-05,2.65E-05,2.38E-05,1.72E-05,3.20E-05,4.78E-05,1.84E-05,2.25E-05,1.86E-05,1.95E-05,1.32E-05,1.54E-05,1.49E-05,1.63E-05,1.83E-05,2.31E-05,1.76E-05
Serinyl-Tyrosine,1.50E-05,1.50E-05,1.63E-05,1.69E-05,1.94E-05,1.45E-05,1.52E-05,1.56E-05,1.53E-05,7.62E-06,1.09E-05,7.14E-06,6.11E-06,7.95E-06,6.03E-06,8.10E-06,7.80E-06,9.12E-06
xi-5-Acetyltetrahydro-2(3H)-furanone,2.47E-05,2.83E-05,3.14E-05,2.38E-05,1.09E-05,2.49E-05,2.08E-05,1.70E-05,1.58E-05,6.83E-06,1.45E-05,6.79E-06,9.26E-06,1.32E-05,6.52E-06,9.23E-06,1.86E-05,7.52E-06
Cyclocalopin C1,3.46E-06,4.23E-06,8.17E-06,1.46E-05,1.09E-05,9.08E-06,5.74E-06,5.33E-06,3.84E-06,1.72E-05,1.44E-05,2.46E-05,1.64E-05,2.48E-05,1.35E-05,3.38E-05,2.04E-05,1.31E-05
Clemastine,6.12E-05,5.41E-05,7.54E-05,4.16E-05,2.16E-05,3.53E-05,5.09E-05,3.72E-05,3.84E-05,2.94E-05,1.35E-05,2.36E-05,1.27E-05,2.15E-05,2.99E-05,1.84E-05,2.29E-05,1.81E-05
Tryptophol [xylosyl-(1->6)-glucoside],8.17E-06,1.32E-05,1.53E-05,5.15E-06,1.23E-05,1.33E-05,1.13E-05,5.12E-06,5.09E-06,1.20E-05,1.46E-05,8.67E-06,2.33E-06,1.62E-05,1.18E-05,6.39E-06,4.96E-06,1.26E-05
Hexobarbital,2.61E-06,3.86E-06,2.97E-06,2.83E-06,3.21E-06,3.70E-06,2.82E-06,3.40E-06,3.95E-06,2.91E-06,1.69E-06,2.40E-06,3.83E-06,3.50E-06,2.69E-06,2.03E-06,5.00E-06,3.54E-06
Arginyl-Glutamine,2.53E-06,4.01E-06,5.59E-06,3.03E-06,2.98E-06,4.02E-06,3.92E-06,3.11E-06,0,1.65E-06,3.33E-06,3.65E-06,1.05E-06,2.07E-06,2.19E-06,2.84E-06,1.84E-06,1.58E-06
Androsterone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",1.15E-05,9.27E-06,4.27E-06,5.22E-06,3.36E-06,2.84E-06,3.38E-06,7.78E-06,1.18E-05,1.45E-05,1.22E-05,1.98E-05,1.79E-05,1.62E-05,2.84E-05,2.06E-05,1.54E-05,1.29E-05
1-docosanoyl-glycero-3-phosphate,3.33E-05,3.20E-05,3.77E-05,4.19E-05,4.01E-05,3.91E-05,4.53E-05,3.54E-05,3.54E-05,3.47E-05,3.17E-05,3.20E-05,3.77E-05,3.65E-05,3.00E-05,4.44E-05,4.07E-05,3.81E-05
2-Pentylpyridine,3.41E-07,1.27E-07,3.47E-07,6.19E-07,5.37E-07,1.36E-06,2.32E-06,2.12E-06,3.04E-06,1.39E-05,1.19E-05,7.40E-06,1.12E-05,6.02E-06,6.54E-06,1.34E-05,7.53E-06,2.82E-05
Tiropramide,4.17E-05,4.92E-05,4.12E-05,9.76E-05,8.68E-05,5.21E-05,5.01E-05,4.07E-05,6.39E-05,8.87E-06,9.18E-06,8.30E-06,1.15E-05,7.20E-06,6.09E-06,1.16E-05,8.99E-06,7.20E-06
Cystathionine sulfoxide,4.12E-06,3.73E-06,4.06E-06,3.80E-06,3.81E-06,3.76E-06,3.58E-06,3.20E-06,2.93E-06,3.46E-06,3.06E-06,3.48E-06,3.10E-06,3.69E-06,2.65E-06,4.28E-06,3.98E-06,3.47E-06
Ginsenoyne M,2.44E-06,9.15E-07,7.03E-06,2.82E-06,4.99E-06,1.08E-05,3.76E-06,2.37E-06,2.88E-06,1.23E-06,7.81E-06,3.21E-06,2.19E-06,3.61E-06,6.73E-06,6.86E-06,5.51E-07,1.30E-06
Eremopetasitenin A1,9.90E-08,0,0,0,0,0,0,0,0,0,0,1.63E-07,0,0,0,0,0,0
Prehumulinic acid,0.000113768,5.51E-05,7.17E-05,0.000107805,0.000156457,0.00013884,0.000193439,0.000123918,6.93E-05,4.75E-05,0.000144306,5.07E-05,5.95E-05,5.39E-05,0.000113511,5.16E-05,6.57E-05,8.47E-05
Withaperuvin E,1.01E-05,1.13E-05,6.81E-06,8.76E-06,9.92E-06,7.18E-06,8.53E-06,7.98E-06,1.02E-05,5.05E-06,6.21E-06,5.46E-06,1.70E-06,6.70E-06,1.14E-05,8.31E-06,6.05E-06,9.01E-06
"(8alpha,10beta,11beta)-3-Hydroxy-4,15-dinor-1(5)-xanthen-12,8-olide",4.05E-06,3.22E-06,2.19E-06,5.58E-06,4.34E-06,3.18E-06,3.22E-06,2.62E-06,1.45E-06,1.58E-05,2.66E-05,2.19E-05,7.11E-06,2.45E-05,3.05E-05,2.78E-05,1.49E-05,1.13E-05
"N-2-[4-(3,3-Dimethylallyloxy)phenyl]ethylcinnamide",5.09E-06,3.93E-06,5.25E-06,7.06E-06,7.35E-06,8.01E-06,5.78E-06,6.91E-06,3.02E-06,6.22E-06,6.12E-06,6.95E-06,5.93E-06,7.79E-06,3.85E-06,1.24E-05,6.33E-06,3.36E-06
Cepagenin,0.000130795,0.000187636,0.000212423,9.84E-05,9.62E-05,0.000128915,3.92E-05,0.000127846,6.25E-05,0.000105764,9.46E-05,0.000142104,0.000135615,0.000160752,5.18E-05,0.000176519,0.000239045,0.000158468
Cortisol,0.000321658,0.000230226,0.000454525,4.14E-05,4.70E-05,0.000412787,0.00038034,0.000307876,9.39E-05,3.92E-05,9.71E-05,0.000149072,0.000169173,0.000248635,0.000105701,0.00016688,0.000287218,0.000157013
"2-trans,4-cis-Decadienoylcarnitine",2.55E-06,4.55E-06,2.80E-06,3.27E-06,2.48E-06,2.75E-06,3.02E-06,1.39E-06,1.65E-06,3.18E-06,4.52E-06,2.46E-06,3.60E-06,4.30E-06,6.07E-06,2.19E-06,2.83E-06,2.67E-06
Glycyl-glycine,1.04E-05,9.59E-06,1.09E-05,1.17E-05,1.16E-05,1.14E-05,1.21E-05,1.19E-05,1.16E-05,1.05E-05,1.07E-05,1.24E-05,1.09E-05,1.20E-05,9.77E-06,1.21E-05,1.20E-05,1.08E-05
"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))",6.25E-06,8.28E-06,7.09E-06,8.25E-06,1.08E-05,1.06E-05,9.35E-06,8.23E-06,7.05E-06,1.14E-05,1.19E-05,9.49E-06,1.27E-05,1.20E-05,1.24E-05,1.15E-05,8.16E-06,1.00E-05
Piperoic acid,6.35E-05,5.53E-05,6.68E-05,6.82E-05,6.54E-05,7.06E-05,7.02E-05,6.21E-05,6.58E-05,6.19E-05,6.21E-05,6.12E-05,6.72E-05,6.54E-05,5.69E-05,7.37E-05,7.26E-05,6.87E-05
"(17alpha,23S)-17,23-Epoxy-29-hydroxy-27-norlanosta-1,8-diene-3,15,24-trione",0.000720544,0.000389182,0.000349591,0.000743677,0.001355075,0.000531576,0.000589593,0.000769292,0.000592022,9.89E-05,0.000109163,7.49E-05,8.39E-05,9.88E-05,8.03E-05,0.000134354,0.000119025,9.52E-05
"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",0.000899103,0.000676904,0.000784745,0.00087271,0.000970777,0.001236392,0.001472136,0.001033593,0.001326034,0.001291377,0.004905025,0.005086814,0.003567604,0.003727466,0.002875827,0.003454388,0.003170688,0.002687198
"LysoPE(0:0/22:4(7Z,10Z,13Z,16Z))",1.62E-05,1.31E-05,8.43E-06,2.42E-05,1.80E-05,1.25E-05,1.17E-05,1.88E-05,1.44E-05,3.04E-05,2.25E-05,2.43E-05,1.61E-05,3.42E-05,3.12E-05,2.98E-05,1.66E-05,2.00E-05
"Dihydro-2,4,6-tris(2-methylpropyl)-4h-1,3,5-dithiazine",2.06E-06,3.17E-06,2.29E-06,8.75E-07,3.69E-07,2.91E-06,2.19E-06,1.04E-06,1.00E-06,4.87E-07,4.13E-08,4.46E-07,1.40E-07,2.15E-07,0,0,3.96E-07,4.32E-07
Descarbonyl-lacosamide,4.65E-06,4.30E-06,5.08E-06,6.44E-06,7.99E-06,4.49E-06,4.74E-06,4.42E-06,3.82E-06,2.62E-06,1.48E-06,1.57E-06,1.41E-06,1.80E-06,8.15E-07,1.42E-06,1.84E-06,1.66E-06
1-Arachidonoylglycerophosphoinositol,0.001089728,0.00026941,0.000231104,0.000378366,0.000942717,0.000168768,0.001549587,0.001158822,0.001337277,0.000998758,0.000460371,0.001233293,0.00120843,0.000964066,0.000327532,0.001238618,0.001658641,0.001833776
"LysoPE(20:4(8Z,11Z,14Z,17Z)/0:0)",0.018198303,0.020721297,0.021019187,0.018838562,0.01701501,0.019414374,0.017298216,0.022731866,0.021565001,0.01941209,0.018967975,0.018443321,0.018236115,0.021353544,0.020626686,0.023099092,0.019298846,0.02344845
Monoethylhexyl phthalic acid,3.51E-05,3.15E-05,3.78E-05,3.84E-05,4.53E-05,3.94E-05,4.03E-05,3.76E-05,3.62E-05,3.28E-05,2.86E-05,3.23E-05,2.94E-05,3.36E-05,2.90E-05,3.76E-05,3.56E-05,3.07E-05
Cappariloside B,3.31E-06,4.77E-06,5.00E-06,4.06E-06,8.02E-06,5.03E-06,1.91E-06,5.65E-06,7.79E-06,1.59E-05,1.14E-05,3.40E-06,4.68E-07,1.07E-05,5.09E-06,5.89E-06,2.55E-06,7.82E-06
"Quinoline-4,8-diol",1.40E-05,7.96E-06,1.35E-05,2.29E-05,1.77E-05,1.77E-05,7.26E-06,1.46E-05,8.37E-06,1.19E-05,1.14E-05,1.70E-05,9.31E-06,1.55E-05,9.10E-06,1.41E-05,1.35E-05,6.14E-06
N-hexacosanoylglycine,0.000728242,0.000514893,0.000617908,0.000496783,0.000703268,0.000597146,0.000573173,0.000421421,0.000653654,0.000486966,0.00043716,0.00044265,0.000553084,0.000484571,0.000458929,0.000631218,0.0006249,0.000557519
Cer(d18:0/14:0),8.55E-06,7.81E-06,6.95E-06,7.42E-06,1.06E-05,7.16E-06,7.04E-06,6.33E-06,1.03E-05,6.61E-06,5.98E-06,2.95E-06,5.97E-06,7.18E-06,5.63E-06,7.50E-06,1.03E-05,7.74E-06
Cryptoxanthin epoxide,0.000254691,0.000131931,0.000156674,0.00017195,0.00015468,0.000166392,0.000182909,0.000161519,0.000160724,0.000178203,0.000168688,0.000168358,0.000183107,0.000174454,0.000136343,0.00018971,0.000171207,0.000188155
N-Methylschinifoline,0.000225362,0.000202247,0.000240913,0.000246664,0.000241778,0.000242723,0.00024432,0.000217431,0.000229997,0.000199986,0.000183151,0.000192846,0.000200424,0.000206934,0.000181605,0.000228268,0.000228765,0.000195571
"Thaumatin b, recombinant",8.82E-05,7.80E-05,9.70E-05,9.50E-05,8.61E-05,8.86E-05,9.64E-05,8.80E-05,9.72E-05,8.88E-05,8.11E-05,8.27E-05,8.79E-05,9.24E-05,8.22E-05,9.17E-05,9.37E-05,9.13E-05
"12alpha-Hydroxy-13,18-dehydroparain",4.12E-06,5.84E-06,1.12E-05,2.54E-06,0,2.10E-06,4.31E-06,3.66E-06,6.74E-07,4.09E-07,1.96E-07,5.42E-07,2.53E-07,2.06E-07,1.22E-06,3.24E-07,3.16E-07,4.53E-07
"(R)-1-O-b-D-glucopyranosyl-1,3-octanediol",6.12E-06,5.32E-06,6.06E-06,5.84E-06,5.42E-06,5.58E-06,5.54E-06,5.12E-06,5.50E-06,5.07E-06,4.66E-06,5.51E-06,6.02E-06,5.97E-06,4.86E-06,5.40E-06,5.36E-06,5.73E-06
"16beta-16-Hydroxy-3-oxo-1,12-oleanadien-28-oic acid",7.88E-05,9.21E-05,5.91E-05,8.36E-05,8.74E-05,7.14E-05,4.25E-05,7.92E-05,6.59E-05,7.29E-06,7.77E-06,7.42E-06,5.19E-06,5.14E-06,5.89E-06,5.44E-06,4.48E-06,3.06E-06
Cytochalasin Ppho,1.10E-05,1.08E-05,6.93E-06,1.05E-05,5.95E-06,8.03E-06,6.95E-06,1.11E-05,9.45E-06,3.25E-06,3.35E-06,3.53E-06,2.54E-06,2.37E-06,7.42E-06,2.61E-06,1.67E-06,2.46E-06
Anhydroamarouciaxanthin B,5.02E-06,5.08E-06,3.84E-06,3.66E-06,2.96E-06,5.01E-06,4.34E-06,3.54E-06,1.64E-06,2.83E-06,4.81E-06,1.54E-06,2.78E-06,2.77E-06,1.91E-06,3.35E-06,1.47E-06,1.38E-06
Petasinine,1.37E-06,6.97E-07,8.00E-07,1.96E-06,7.54E-07,6.45E-07,2.49E-07,9.90E-07,7.59E-07,8.41E-07,1.30E-06,1.05E-06,6.33E-07,1.44E-06,1.09E-06,8.87E-07,0,4.04E-07
Prephenate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-Taurinomethyl-2-thiouridine,6.14E-06,6.70E-06,9.59E-06,5.36E-06,8.66E-06,5.68E-06,6.02E-06,4.11E-06,2.91E-06,5.44E-06,1.10E-05,2.55E-06,1.07E-06,6.23E-06,6.21E-06,2.83E-06,2.19E-06,4.28E-06
